0;743
1;697
2;697
3;692
4;692
5;692
6;677
7;677
8;677
9;677
10;677
11;677
12;677
13;677
14;677
15;677
16;677
17;677
18;677
19;677
20;677
21;677
22;677
23;677
24;677
25;677
26;677
27;677
28;677
29;677
30;677
31;677
32;677
33;677
34;677
35;677
36;677
37;677
38;677
39;677
40;677
41;677
42;677
43;677
44;677
45;677
46;677
47;677
48;677
49;677
50;677
51;677
52;677
53;677
54;677
55;677
56;677
57;677
58;677
59;677
60;677
61;677
62;677
63;677
64;677
65;677
66;677
67;677
68;677
69;677
70;677
71;677
72;677
73;677
74;677
75;677
76;677
77;677
78;677
79;677
80;677
81;677
82;677
83;677
84;677
85;677
86;677
87;677
88;677
89;677
90;677
91;677
92;677
93;677
94;677
95;677
96;677
97;677
98;677
99;677
