Data 0
Recherche locale;1120;1071;1038;1021;994;946;915;913;860;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 742
Initial worst makespan; 1276
New best makespan; 706
New worst makespan; 958

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 685
Initial worst makespan; 835
New best makespan; 678
New worst makespan; 824


Data 1
Recherche locale;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 701
Initial worst makespan; 1150
New best makespan; 683
New worst makespan; 890

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 644
Initial worst makespan; 794
New best makespan; 635
New worst makespan; 787


Data 2
Recherche locale;1035;973;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 618
Initial worst makespan; 1066
New best makespan; 588
New worst makespan; 799

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 588
Initial worst makespan; 708
New best makespan; 588
New worst makespan; 696


Data 3
Recherche locale;993;985;964;938;916;891;889;849;844;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 687
Initial worst makespan; 1188
New best makespan; 639
New worst makespan; 863

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 621
Initial worst makespan; 761
New best makespan; 621
New worst makespan; 754


Data 4
Recherche locale;886;838;810;786;774;762;735;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 607
Initial worst makespan; 1058
New best makespan; 593
New worst makespan; 806

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 593
Initial worst makespan; 713
New best makespan; 593
New worst makespan; 707


Data 5
Recherche locale;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 985
Initial worst makespan; 1563
New best makespan; 960
New worst makespan; 1212

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 926
Initial worst makespan; 1072
New best makespan; 926
New worst makespan; 1066


Data 6
Recherche locale;1161;1139;1125;1116;1109;1071;1059;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 955
Initial worst makespan; 1563
New best makespan; 895
New worst makespan; 1141

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 869
Initial worst makespan; 1001
New best makespan; 869
New worst makespan; 993


Data 7
Recherche locale;1373;1335;1326;1313;1290;1285;1247;1238;1237;1235;1228;1220;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 996
Initial worst makespan; 1568
New best makespan; 863
New worst makespan; 1166

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 863
Initial worst makespan; 1036
New best makespan; 863
New worst makespan; 1024


Data 8
Recherche locale;1415;1350;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1023
Initial worst makespan; 1685
New best makespan; 992
New worst makespan; 1295

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 951
Initial worst makespan; 1111
New best makespan; 951
New worst makespan; 1095


Data 9
Recherche locale;1226;1182;1172;1124;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1038
Initial worst makespan; 1579
New best makespan; 967
New worst makespan; 1254

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 958
Initial worst makespan; 1100
New best makespan; 958
New worst makespan; 1087


Data 10
Recherche locale;1505;1471;1450;1449;1437;1435;1424;1397;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1297
Initial worst makespan; 1955
New best makespan; 1290
New worst makespan; 1548

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1222
Initial worst makespan; 1399
New best makespan; 1222
New worst makespan; 1386


Data 11
Recherche locale;1402;1397;1389;1375;1343;1335;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1184
Initial worst makespan; 1923
New best makespan; 1149
New worst makespan; 1424

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1079
Initial worst makespan; 1235
New best makespan; 1059
New worst makespan; 1204


Data 12
Recherche locale;1854;1813;1782;1697;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1256
Initial worst makespan; 2138
New best makespan; 1246
New worst makespan; 1515

Cinquieme iteration de l'algo genetique : 
Algo genetique
